Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.0051
188002,-0.1321
188003,-0.1427
188004,-0.0549
188005,-0.0832
188006,-0.1773
188007,-0.1588
188008,-0.0797
188009,-0.0889
188010,-0.1876
188011,-0.2755
188012,-0.0862
188101,-0.0274
188102,-0.0365
188103,0.0279
188104,0.0647
188105,0.0180
188106,-0.0998
188107,-0.0415
188108,-0.0575
188109,-0.1897
188110,-0.2310
188111,-0.2290
188112,-0.0531
188201,0.0808
188202,0.0297
188203,0.0672
188204,-0.1323
188205,-0.1540
188206,-0.1484
188207,-0.0766
188208,-0.0133
188209,-0.0021
188210,-0.2199
188211,-0.1382
188212,-0.1797
188301,-0.2778
188302,-0.3011
188303,-0.1462
188304,-0.1855
188305,-0.1515
188306,-0.0146
188307,-0.0930
188308,-0.0564
188309,-0.1532
188310,-0.1701
188311,-0.1779
188312,-0.0823
188401,-0.1935
188402,-0.1530
188403,-0.2146
188404,-0.1901
188405,-0.1360
188406,-0.2022
188407,-0.3084
188408,-0.2783
188409,-0.2333
188410,-0.1795
188411,-0.2778
188412,-0.1539
188501,-0.4339
188502,-0.2637
188503,-0.1531
188504,-0.2621
188505,-0.2857
188506,-0.3121
188507,-0.2448
188508,-0.2467
188509,-0.2029
188510,-0.1344
188511,-0.1328
188512,0.0437
188601,-0.1218
188602,-0.2869
188603,-0.2894
188604,-0.1748
188605,-0.1633
188606,-0.2525
188607,-0.1664
188608,-0.2192
188609,-0.2035
188610,-0.2334
188611,-0.2025
188612,-0.1703
188701,-0.3890
188702,-0.3800
188703,-0.1698
188704,-0.1954
188705,-0.2414
188706,-0.2206
188707,-0.2743
188708,-0.3188
188709,-0.1847
188710,-0.3035
188711,-0.1610
188712,-0.2030
188801,-0.3951
188802,-0.3384
188803,-0.3060
188804,-0.1843
188805,-0.1617
188806,-0.1005
188807,-0.1223
188808,-0.1681
188809,-0.0761
188810,0.0094
188811,-0.0493
188812,0.0353
188901,-0.1013
188902,0.0082
188903,0.1152
188904,0.0421
188905,-0.0375
188906,-0.0754
188907,-0.1662
188908,-0.1414
188909,-0.2311
188910,-0.1961
188911,-0.2813
188912,-0.1793
189001,-0.3633
189002,-0.4300
189003,-0.3209
189004,-0.2606
189005,-0.3893
189006,-0.2884
189007,-0.2817
189008,-0.3268
189009,-0.3542
189010,-0.2967
189011,-0.3435
189012,-0.2320
189101,-0.3830
189102,-0.5288
189103,-0.2142
189104,-0.2521
189105,-0.1386
189106,-0.2060
189107,-0.2265
189108,-0.2274
189109,-0.1557
189110,-0.2895
189111,-0.3963
189112,-0.0453
189201,-0.2392
189202,-0.1353
189203,-0.3043
189204,-0.3206
189205,-0.3043
189206,-0.2861
189207,-0.3527
189208,-0.3282
189209,-0.2237
189210,-0.2496
189211,-0.4745
189212,-0.4751
189301,-0.6757
189302,-0.6130
189303,-0.2226
189304,-0.3543
189305,-0.3425
189306,-0.2412
189307,-0.1996
189308,-0.3280
189309,-0.2603
189310,-0.2098
189311,-0.1637
189312,-0.2503
189401,-0.4360
189402,-0.2217
189403,-0.2038
189404,-0.3000
189405,-0.3011
189406,-0.3489
189407,-0.2741
189408,-0.2727
189409,-0.2531
189410,-0.2155
189411,-0.2974
189412,-0.2381
189501,-0.4382
189502,-0.4126
189503,-0.2818
189504,-0.1809
189505,-0.2059
189506,-0.2929
189507,-0.1994
189508,-0.2222
189509,-0.1292
189510,-0.1291
189511,-0.1597
189512,-0.0684
189601,-0.1042
189602,-0.0779
189603,-0.2056
189604,-0.2620
189605,-0.0995
189606,-0.0900
189607,-0.0492
189608,-0.0670
189609,-0.0671
189610,-0.0078
189611,-0.1644
189612,0.0530
189701,-0.1873
189702,-0.1123
189703,-0.1884
189704,-0.0036
189705,-0.0220
189706,-0.0996
189707,-0.0401
189708,-0.0734
189709,-0.0244
189710,-0.1614
189711,-0.2616
189712,-0.2962
189801,-0.0368
189802,-0.2773
189803,-0.6557
189804,-0.3520
189805,-0.3110
189806,-0.2108
189807,-0.2411
189808,-0.2294
189809,-0.2062
189810,-0.3231
189811,-0.2491
189812,-0.0072
189901,-0.1005
189902,-0.2827
189903,-0.2540
189904,-0.1964
189905,-0.1371
189906,-0.1977
189907,-0.1307
189908,-0.0637
189909,-0.0540
189910,-0.0290
189911,0.1396
189912,-0.1661
190001,-0.2384
190002,-0.0917
190003,-0.0389
190004,-0.0928
190005,-0.0362
190006,-0.0477
190007,-0.0732
190008,-0.0685
190009,-0.0624
190010,0.0471
190011,-0.1372
190012,0.0314
190101,-0.1238
190102,-0.0781
190103,-0.0354
190104,-0.0676
190105,-0.1267
190106,-0.1289
190107,-0.1554
190108,-0.1311
190109,-0.2066
190110,-0.2799
190111,-0.1405
190112,-0.2381
190201,-0.0902
190202,-0.0388
190203,-0.2010
190204,-0.2713
190205,-0.2663
190206,-0.3378
190207,-0.2889
190208,-0.2692
190209,-0.2359
190210,-0.2835
190211,-0.3433
190212,-0.3672
190301,-0.2118
190302,-0.0860
190303,-0.2789
190304,-0.3529
190305,-0.3927
190306,-0.3777
190307,-0.3403
190308,-0.4339
190309,-0.3767
190310,-0.4343
190311,-0.3950
190312,-0.3854
190401,-0.5426
190402,-0.4682
190403,-0.5135
190404,-0.4712
190405,-0.4298
190406,-0.4438
190407,-0.4591
190408,-0.4330
190409,-0.4656
190410,-0.4091
190411,-0.1710
190412,-0.2412
190501,-0.3558
190502,-0.6175
190503,-0.3966
190504,-0.4528
190505,-0.2912
190506,-0.2539
190507,-0.1952
190508,-0.2266
190509,-0.2261
190510,-0.3003
190511,-0.0945
190512,-0.1347
190601,-0.1748
190602,-0.2363
190603,-0.1512
190604,-0.0524
190605,-0.2199
190606,-0.1795
190607,-0.2498
190608,-0.2368
190609,-0.3084
190610,-0.2842
190611,-0.3715
190612,-0.1665
190701,-0.3470
190702,-0.4047
190703,-0.2791
190704,-0.3513
190705,-0.4703
190706,-0.3772
190707,-0.3590
190708,-0.3394
190709,-0.3445
190710,-0.3060
190711,-0.5083
190712,-0.3955
190801,-0.3638
190802,-0.3777
190803,-0.6093
190804,-0.4861
190805,-0.4033
190806,-0.4093
190807,-0.3941
190808,-0.4827
190809,-0.4007
190810,-0.5218
190811,-0.4863
190812,-0.3858
190901,-0.5524
190902,-0.4599
190903,-0.5402
190904,-0.5292
190905,-0.4536
190906,-0.4172
190907,-0.4378
190908,-0.3077
190909,-0.3640
190910,-0.3968
190911,-0.2751
190912,-0.4104
191001,-0.3063
191002,-0.3614
191003,-0.4238
191004,-0.3405
191005,-0.3039
191006,-0.3565
191007,-0.3297
191008,-0.3360
191009,-0.3373
191010,-0.4249
191011,-0.4989
191012,-0.5648
191101,-0.5107
191102,-0.5293
191103,-0.5706
191104,-0.5135
191105,-0.4795
191106,-0.4474
191107,-0.4660
191108,-0.4559
191109,-0.4015
191110,-0.3470
191111,-0.2595
191112,-0.2458
191201,-0.2786
191202,-0.1113
191203,-0.3133
191204,-0.2031
191205,-0.2256
191206,-0.2594
191207,-0.3157
191208,-0.4531
191209,-0.5074
191210,-0.5206
191211,-0.4133
191212,-0.3577
191301,-0.3547
191302,-0.3909
191303,-0.4076
191304,-0.3515
191305,-0.3940
191306,-0.3811
191307,-0.3550
191308,-0.3310
191309,-0.3578
191310,-0.3146
191311,-0.1395
191312,-0.0401
191401,0.0951
191402,-0.1190
191403,-0.1632
191404,-0.2479
191405,-0.1674
191406,-0.1969
191407,-0.2104
191408,-0.1751
191409,-0.1795
191410,-0.0961
191411,-0.1226
191412,-0.0990
191501,-0.1357
191502,-0.0108
191503,-0.1047
191504,0.0230
191505,-0.0696
191506,-0.0855
191507,-0.0282
191508,-0.0761
191509,-0.1110
191510,-0.1721
191511,-0.0109
191512,-0.0495
191601,-0.1763
191602,-0.1727
191603,-0.2951
191604,-0.1950
191605,-0.2233
191606,-0.3813
191607,-0.2877
191608,-0.2754
