# Data: Camden council / Travelfootprint.org / Clear Zone Partnership
id,Mode,Detail,Occupancy,Comment,co2_gkm,co2_gpkm,nox_gpkm,pms_gpkm,lc_co2_gpkm,lc_nox_gpkm,lc_pms_gpkm,aq,ghg,env_rating
219,CAR,Average small family petrol hybrid,Average occupancy (1.6 passengers),Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,149.811,93.6316,0.00528187,0,132.37,0.09,0.01,0.00,0.00,0.00
220,CAR,Average small family petrol hybrid,Driver plus 1 passenger,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,149.811,74.9053,0.0042255,0,105.90,0.07,0.01,0.00,0.00,0.00
221,CAR,Average small family petrol hybrid,Driver plus 2 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,149.811,49.9368,0.002817,0,70.60,0.05,0.01,0.00,0.00,0.00
222,CAR,Average small family petrol hybrid,Driver plus 3 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,149.811,37.4526,0.00211275,0,52.95,0.04,0.00,0.00,0.00,0.00
223,CAR,Average small family petrol hybrid,Driver plus 4 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,149.811,29.9621,0.0016902,0,42.36,0.03,0.00,0.00,0.00,0.00
224,CAR,Average small family electric (standard),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,120.63,0.23,0.01,0.00,0.00,0.00
225,CAR,Average small family electric (standard),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,75.40,0.14,0.01,0.00,0.00,0.00
226,CAR,Average small family electric (standard),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,60.32,0.11,0.01,0.00,0.00,0.00
227,CAR,Average small family electric (standard),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,40.21,0.08,0.00,0.00,0.00,0.00
228,CAR,Average small family electric (standard),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,30.16,0.06,0.00,0.00,0.00,0.00
229,CAR,Average small family electric (standard),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,24.13,0.05,0.00,0.00,0.00,0.00
230,CAR,Average small family electric (green),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,47.25,0.08,0.01,0.00,0.00,0.00
231,CAR,Average small family electric (green),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,29.53,0.05,0.01,0.00,0.00,0.00
232,CAR,Average small family electric (green),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,23.62,0.04,0.00,0.00,0.00,0.00
233,CAR,Average small family electric (green),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,15.75,0.03,0.00,0.00,0.00,0.00
234,CAR,Average small family electric (green),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,11.81,0.02,0.00,0.00,0.00,0.00
235,CAR,Average small family electric (green),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,9.45,0.02,0.00,0.00,0.00,0.00
236,CAR,Average super-mini diesel,Driver only,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,142.866,0.273399,0,196.29,0.39,0.01,23.03,55.27,42.24
237,CAR,Average super-mini diesel,Average occupancy (1.6 passengers),Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,89.291,0.170874,0,122.68,0.24,0.01,14.39,34.54,26.40
238,CAR,Average super-mini diesel,Driver plus 1 passenger,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,71.4328,0.136699,0,98.14,0.19,0.01,11.51,27.63,21.12
239,CAR,Average super-mini diesel,Driver plus 2 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,47.6219,0.091133,0,65.43,0.13,0.00,7.68,18.42,14.08
240,CAR,Average super-mini diesel,Driver plus 3 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,35.7164,0.0683497,0,49.07,0.10,0.00,5.76,13.82,10.56
241,CAR,Average super-mini diesel,Driver plus 4 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,142.866,28.5731,0.0546798,0,39.26,0.08,0.00,4.61,11.05,8.45
242,CAR,Average super-mini petrol,Driver only,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,179.988,0.032382,0,234.40,0.17,0.02,41.17,46.62,44.42
243,CAR,Average super-mini petrol,Average occupancy (1.6 passengers),Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,112.492,0.0202387,0,146.50,0.11,0.01,25.73,29.14,27.76
244,CAR,Average super-mini petrol,Driver plus 1 passenger,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,89.9938,0.016191,0,117.20,0.09,0.01,20.59,23.31,22.21
245,CAR,Average super-mini petrol,Driver plus 2 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,59.9959,0.010794,0,78.13,0.06,0.01,13.72,15.54,14.81
246,CAR,Average super-mini petrol,Driver plus 3 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,44.9969,0.0080955,0,58.60,0.04,0.00,10.29,11.65,11.10
247,CAR,Average super-mini petrol,Driver plus 4 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,179.988,35.9975,0.0064764,0,46.88,0.03,0.00,8.23,9.32,8.88
248,CAR,Average super-mini LP gas,Driver only,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,163.789,0.0213721,0,204.81,0.15,0.01,0.00,0.00,0.00
249,CAR,Average super-mini LP gas,Average occupancy (1.6 passengers),LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,102.368,0.0133576,0,128.00,0.09,0.01,0.00,0.00,0.00
250,CAR,Average super-mini LP gas,Driver plus 1 passenger,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,81.8944,0.0106861,0,102.40,0.07,0.01,0.00,0.00,0.00
251,CAR,Average super-mini LP gas,Driver plus 2 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,54.5962,0.00712403,0,68.27,0.05,0.00,0.00,0.00,0.00
252,CAR,Average super-mini LP gas,Driver plus 3 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,40.9472,0.00534303,0,51.20,0.04,0.00,0.00,0.00,0.00
253,CAR,Average super-mini LP gas,Driver plus 4 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,163.789,32.7578,0.00427442,0,40.96,0.03,0.00,0.00,0.00,0.00
254,CAR,Average super-mini natural gas,Driver only,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,138.59,0.0136004,0,173.96,0.08,0.01,0.00,0.00,0.00
255,CAR,Average super-mini natural gas,Average occupancy (1.6 passengers),CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,86.6187,0.00850025,0,108.73,0.05,0.01,0.00,0.00,0.00
256,CAR,Average super-mini natural gas,Driver plus 1 passenger,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,69.295,0.0068002,0,86.98,0.04,0.01,0.00,0.00,0.00
257,CAR,Average super-mini natural gas,Driver plus 2 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,46.1967,0.00453347,0,57.99,0.03,0.00,0.00,0.00,0.00
258,CAR,Average super-mini natural gas,Driver plus 3 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,34.6475,0.0034001,0,43.49,0.02,0.00,0.00,0.00,0.00
259,CAR,Average super-mini natural gas,Driver plus 4 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,138.59,27.718,0.00272008,0,34.79,0.02,0.00,0.00,0.00,0.00
260,CAR,Average super-mini petrol hybrid,Driver only,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,125.992,0.0080955,0,178.51,0.12,0.02,0.00,0.00,0.00
261,CAR,Average super-mini petrol hybrid,Average occupancy (1.6 passengers),Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,78.7448,0.00505969,0,111.57,0.08,0.01,0.00,0.00,0.00
262,CAR,Average super-mini petrol hybrid,Driver plus 1 passenger,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,62.9958,0.00404775,0,89.26,0.06,0.01,0.00,0.00,0.00
263,CAR,Average super-mini petrol hybrid,Driver plus 2 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,41.9972,0.0026985,0,59.50,0.04,0.01,0.00,0.00,0.00
264,CAR,Average super-mini petrol hybrid,Driver plus 3 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,31.4979,0.00202388,0,44.63,0.03,0.00,0.00,0.00,0.00
265,CAR,Average super-mini petrol hybrid,Driver plus 4 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,125.992,25.1983,0.0016191,0,35.70,0.02,0.00,0.00,0.00,0.00
266,CAR,Average super-mini electric (standard),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,115.19,0.22,0.01,0.00,0.00,0.00
267,CAR,Average super-mini electric (standard),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,71.99,0.14,0.01,0.00,0.00,0.00
268,CAR,Average super-mini electric (standard),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,57.59,0.11,0.01,0.00,0.00,0.00
269,CAR,Average super-mini electric (standard),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,38.40,0.07,0.00,0.00,0.00,0.00
270,CAR,Average super-mini electric (standard),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,28.80,0.05,0.00,0.00,0.00,0.00
271,CAR,Average super-mini electric (standard),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,23.04,0.04,0.00,0.00,0.00,0.00
272,CAR,Average super-mini electric (green),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,40.20,0.07,0.01,0.00,0.00,0.00
273,CAR,Average super-mini electric (green),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,25.13,0.04,0.00,0.00,0.00,0.00
274,CAR,Average super-mini electric (green),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,20.10,0.03,0.00,0.00,0.00,0.00
275,CAR,Average super-mini electric (green),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,13.40,0.02,0.00,0.00,0.00,0.00
276,CAR,Average super-mini electric (green),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,10.05,0.02,0.00,0.00,0.00,0.00
277,CAR,Average super-mini electric (green),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,8.04,0.01,0.00,0.00,0.00,0.00
278,CAR,Average SUV / 4x4 diesel,Driver only,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,273.958,0.376752,0,371.01,0.58,0.02,38.07,87.74,71.15
279,CAR,Average SUV / 4x4 diesel,Average occupancy (1.6 passengers),Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,171.223,0.23547,0,231.88,0.37,0.01,23.79,54.84,44.47
280,CAR,Average SUV / 4x4 diesel,Driver plus 1 passenger,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,136.979,0.188376,0,185.51,0.29,0.01,19.03,43.87,35.57
281,CAR,Average SUV / 4x4 diesel,Driver plus 2 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,91.3192,0.125584,0,123.67,0.19,0.01,12.69,29.25,23.72
282,CAR,Average SUV / 4x4 diesel,Driver plus 3 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,68.4894,0.094188,0,92.75,0.15,0.00,9.52,21.94,17.79
283,CAR,Average SUV / 4x4 diesel,Driver plus 4 passengers,Diesel fuel is assumed to be Ultra Low Sulphur Diesel (ULSD).,273.958,54.7915,0.0753504,0,74.20,0.12,0.00,7.61,17.55,14.23
284,CAR,Average SUV / 4x4 petrol,Driver only,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,307.488,0.0368506,0,399.19,0.27,0.03,62.85,86.24,77.52
285,CAR,Average SUV / 4x4 petrol,Average occupancy (1.6 passengers),Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,192.18,0.0230316,0,249.49,0.17,0.02,39.28,53.90,48.45
286,CAR,Average SUV / 4x4 petrol,Driver plus 1 passenger,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,153.744,0.0184253,0,199.59,0.14,0.01,31.42,43.12,38.76
287,CAR,Average SUV / 4x4 petrol,Driver plus 2 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,102.496,0.0122835,0,133.06,0.09,0.01,20.95,28.75,25.84
288,CAR,Average SUV / 4x4 petrol,Driver plus 3 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,76.872,0.00921265,0,99.80,0.07,0.01,15.71,21.56,19.38
289,CAR,Average SUV / 4x4 petrol,Driver plus 4 passengers,Petrol fuel is assumed to be Ultra Low Sulphur Petrol (ULSP).,307.488,61.4976,0.00737012,0,79.84,0.05,0.01,12.57,17.25,15.50
290,CAR,Average SUV / 4x4 LP gas,Driver only,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,279.815,0.0243214,0,347.73,0.23,0.02,0.00,0.00,0.00
291,CAR,Average SUV / 4x4 LP gas,Average occupancy (1.6 passengers),LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,174.884,0.0152009,0,217.33,0.15,0.01,0.00,0.00,0.00
292,CAR,Average SUV / 4x4 LP gas,Driver plus 1 passenger,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,139.907,0.0121607,0,173.87,0.12,0.01,0.00,0.00,0.00
293,CAR,Average SUV / 4x4 LP gas,Driver plus 2 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,93.2715,0.00810713,0,115.91,0.08,0.01,0.00,0.00,0.00
294,CAR,Average SUV / 4x4 LP gas,Driver plus 3 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,69.9536,0.00608035,0,86.93,0.06,0.01,0.00,0.00,0.00
295,CAR,Average SUV / 4x4 LP gas,Driver plus 4 passengers,LP Gas stands for Liquefied Petroleum Gas. Most spark-ignition engines can be modified to operate on LPG.,279.815,55.9629,0.00486428,0,69.55,0.05,0.00,0.00,0.00,0.00
296,CAR,Average SUV / 4x4 natural gas,Driver only,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,236.767,0.0154773,0,287.91,0.12,0.02,0.00,0.00,0.00
297,CAR,Average SUV / 4x4 natural gas,Average occupancy (1.6 passengers),CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,147.979,0.00967331,0,179.94,0.07,0.01,0.00,0.00,0.00
298,CAR,Average SUV / 4x4 natural gas,Driver plus 1 passenger,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,118.383,0.00773865,0,143.95,0.06,0.01,0.00,0.00,0.00
299,CAR,Average SUV / 4x4 natural gas,Driver plus 2 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,78.9222,0.0051591,0,95.97,0.04,0.01,0.00,0.00,0.00
300,CAR,Average SUV / 4x4 natural gas,Driver plus 3 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,59.1917,0.00386932,0,71.98,0.03,0.00,0.00,0.00,0.00
301,CAR,Average SUV / 4x4 natural gas,Driver plus 4 passengers,CNG stands for Compressed Natural Gas. Most spark-ignition engines can be modified to operate on CNG.,236.767,47.3533,0.00309546,0,57.58,0.02,0.00,0.00,0.00,0.00
302,CAR,Average SUV / 4x4 petrol hybrid,Driver only,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,215.242,0.00921265,0,303.36,0.20,0.03,0.00,0.00,0.00
303,CAR,Average SUV / 4x4 petrol hybrid,Average occupancy (1.6 passengers),Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,134.526,0.00575791,0,189.60,0.13,0.02,0.00,0.00,0.00
304,CAR,Average SUV / 4x4 petrol hybrid,Driver plus 1 passenger,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,107.621,0.00460633,0,151.68,0.10,0.01,0.00,0.00,0.00
305,CAR,Average SUV / 4x4 petrol hybrid,Driver plus 2 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,71.7474,0.00307088,0,101.12,0.07,0.01,0.00,0.00,0.00
306,CAR,Average SUV / 4x4 petrol hybrid,Driver plus 3 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,53.8105,0.00230316,0,75.84,0.05,0.01,0.00,0.00,0.00
307,CAR,Average SUV / 4x4 petrol hybrid,Driver plus 4 passengers,Petrol hybrid-electrics are fuelled by conventional petrol and generate electricity on-board the car.,215.242,43.0484,0.00184253,0,60.67,0.04,0.01,0.00,0.00,0.00
308,CAR,Average SUV / 4x4 electric (standard),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,135.63,0.26,0.02,0.00,0.00,0.00
309,CAR,Average SUV / 4x4 electric (standard),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,84.77,0.16,0.01,0.00,0.00,0.00
310,CAR,Average SUV / 4x4 electric (standard),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,67.81,0.13,0.01,0.00,0.00,0.00
311,CAR,Average SUV / 4x4 electric (standard),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,45.21,0.09,0.01,0.00,0.00,0.00
312,CAR,Average SUV / 4x4 electric (standard),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,33.91,0.06,0.00,0.00,0.00,0.00
313,CAR,Average SUV / 4x4 electric (standard),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,27.12,0.05,0.00,0.00,0.00,0.00
314,CAR,Average SUV / 4x4 electric (green),Driver only,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,66.64,0.11,0.01,0.00,0.00,0.00
315,CAR,Average SUV / 4x4 electric (green),Average occupancy (1.6 passengers),Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,41.65,0.07,0.01,0.00,0.00,0.00
316,CAR,Average SUV / 4x4 electric (green),Driver plus 1 passenger,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,33.32,0.05,0.01,0.00,0.00,0.00
317,CAR,Average SUV / 4x4 electric (green),Driver plus 2 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,22.21,0.04,0.00,0.00,0.00,0.00
318,CAR,Average SUV / 4x4 electric (green),Driver plus 3 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,16.66,0.03,0.00,0.00,0.00,0.00
319,CAR,Average SUV / 4x4 electric (green),Driver plus 4 passengers,Battery electric cars can be recharged at home or work and only require access to a conventional electric socket.,0,0,0,0,13.33,0.02,0.00,0.00,0.00,0.00
