"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRBUS","197713","15.754741","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197801","0.526477","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197802","0.538357","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197803","0.889942","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197804","1.357373","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197805","1.566637","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197806","1.493086","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197807","1.220436","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197808","1.464208","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197809","1.316859","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197810","1.594759","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197811","1.583079","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197812","1.358596","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197813","14.909809","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197901","1.297706","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197902","1.230704","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197903","1.499366","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197904","1.435641","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197905","1.560284","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197906","1.587453","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197907","1.203422","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197908","1.608066","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197909","1.450304","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197910","1.764054","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197911","1.538234","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197912","1.36435","1","Coal Production","Quadrillion Btu"
"CLPRBUS","197913","17.539583","1","Coal Production","Quadrillion Btu"
"CLPRBUS","198001","1.55995","1","Coal Production","Quadrillion Btu"
"CLPRBUS","198002","1.469214","1","Coal Production","Quadrillion Btu"
"CLPRBUS","198003","1.590411","1","Coal Production","Quadrillion Btu"
"CLPRBUS","198004","1.561384","1","Coal Production","Quadrillion Btu"
