"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLTCBUS","197708","1.231003","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197709","1.135635","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197710","1.127504","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197711","1.139472","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197712","1.207253","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197713","13.922103","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197801","1.195802","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197802","1.00151","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197803","0.953062","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197804","1.019025","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197805","1.088001","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197806","1.162388","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197807","1.237363","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197808","1.278218","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197809","1.211465","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197810","1.166964","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197811","1.170315","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197812","1.281463","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197813","13.765575","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197901","1.352487","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197902","1.203643","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197903","1.2125","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197904","1.140389","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197905","1.19397","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197906","1.238154","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197907","1.334783","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197908","1.342578","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197909","1.198249","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197910","1.231391","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197911","1.237532","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197912","1.35391","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","197913","15.039586","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198001","1.394041","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198002","1.309761","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198003","1.291623","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198004","1.155186","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198005","1.15954","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198006","1.231174","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198007","1.385342","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198008","1.377215","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198009","1.257702","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198010","1.224097","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198011","1.246566","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198012","1.39054","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198013","15.422809","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198101","1.467366","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198102","1.297021","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198103","1.304283","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198104","1.186599","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198105","1.194768","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198106","1.295935","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198107","1.463331","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198108","1.430796","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198109","1.296714","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198110","1.284573","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198111","1.27444","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198112","1.411723","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198113","15.907526","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198201","1.488841","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198202","1.294926","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198203","1.26221","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198204","1.154664","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198205","1.188681","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198206","1.212642","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198207","1.383398","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198208","1.376905","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198209","1.22966","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198210","1.192804","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198211","1.231755","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198212","1.305074","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198213","15.321581","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198301","1.359687","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198302","1.180042","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198303","1.196034","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198304","1.13955","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198305","1.172176","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198306","1.25652","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198307","1.499058","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198308","1.573899","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198309","1.366111","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198310","1.304357","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198311","1.325008","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198312","1.521978","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198313","15.894442","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198401","1.551521","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198402","1.35899","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198403","1.402844","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198404","1.271621","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198405","1.297942","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198406","1.439065","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198407","1.51922","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198408","1.586855","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198409","1.383544","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198410","1.395014","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198411","1.393904","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198412","1.470103","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198413","17.070622","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198501","1.599226","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198502","1.405395","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198503","1.385744","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198504","1.319424","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198505","1.384445","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198506","1.431061","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198507","1.584552","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198508","1.561888","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198509","1.424542","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198510","1.389491","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198511","1.385921","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198512","1.606739","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198513","17.478428","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198601","1.628376","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198602","1.412688","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198603","1.385114","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198604","1.264564","1","Coal Consumption","Quadrillion Btu"
"CLTCBUS","198605","1.32118","1","Coal Consumption","Quadrillion Btu"
