lng,lat,avg_kwh_m2_day
-72,41,3.884
-72,42,3.774
-72,43,3.671
-72,44,3.563
-117,48,3.8
-114,45,4.056
-108,34,5.446
-108,35,5.369
-78,39,3.966
-78,38,4.158
-114,46,3.91
-108,32,5.688
-108,33,5.488
-78,33,4.635
-114,47,3.805
-78,37,4.29
-78,36,4.387
-78,35,4.463
-78,34,4.526
-105,33,5.415
-105,32,5.548
-105,31,5.776
-105,37,5.204
-105,36,5.168
-105,35,5.326
-105,34,5.486
-105,39,4.527
-105,38,4.874
-92,29,4.738
-103,46,4.034
-114,33,5.845
-102,48,3.693
-114,35,5.706
-114,34,5.78
-114,37,5.487
-114,36,5.65
-102,43,4.347
-102,42,4.492
-102,41,4.589
-102,40,4.701
-102,47,3.837
-102,46,3.965
-102,45,4.112
-102,44,4.242
-95,43,3.948
-95,42,4.022
-95,41,4.113
-95,40,4.193
-95,47,3.619
-95,46,3.724
-95,45,3.816
-95,44,3.888
-162,63,0.0
-106,38,4.734
-95,48,3.543
-162,65,0.0
-148,64,0.0
-148,63,0.0
-148,61,0.0
-122,41,4.75
-78,42,3.687
-78,43,3.702
-78,40,3.782
-78,41,3.707
-112,33,5.796
-112,32,5.833
-157,64,0.0
-112,31,5.852
-75,41,3.759
-75,40,3.946
-75,43,3.65
-75,42,3.656
-107,39,4.578
-75,44,3.664
-157,57,0.0
-107,35,5.445
-107,34,5.525
-107,37,4.858
-107,36,5.417
-107,31,5.88
-150,65,0.0
-107,33,5.631
-107,32,5.77
-113,41,4.657
-113,40,4.873
-113,43,4.487
-113,42,4.556
-113,45,4.03
-113,44,4.234
-113,47,3.717
-113,46,3.958
-113,48,3.655
-106,47,3.989
-106,46,4.07
-106,45,4.137
-95,35,4.481
-95,32,4.619
-95,33,4.579
-95,30,4.577
-95,31,4.606
-134,56,0.0
-67,46,3.482
-67,47,3.431
-67,44,3.645
-67,45,3.573
-115,36,5.669
-115,37,5.561
-115,34,5.816
-115,35,5.702
-115,32,5.862
-115,33,5.859
-115,38,5.173
-115,39,4.964
-122,42,4.506
-158,56,0.0
-165,66,0.0
-165,61,0.0
-83,35,4.292
-83,34,4.514
-83,37,4.058
-83,36,4.179
-83,31,4.758
-83,30,4.771
-83,33,4.57
-83,32,4.672
-83,39,3.986
-83,38,4.056
-107,38,4.73
-98,48,3.607
-98,40,4.4
-98,41,4.297
-98,42,4.173
-98,43,4.119
-98,44,4.027
-84,36,4.175
-98,46,3.805
-98,47,3.689
-84,37,4.115
-152,66,0.0
-152,67,0.0
-94,29,4.688
-122,44,3.774
-91,38,4.234
-73,44,3.642
-73,43,3.708
-73,42,3.768
-73,41,3.896
-73,40,3.955
-89,42,3.841
-89,43,3.807
-89,40,4.026
-91,31,4.637
-89,46,3.638
-89,47,3.649
-89,44,3.747
-89,45,3.695
-116,42,4.581
-116,43,4.599
-116,40,4.898
-116,41,4.669
-116,46,3.951
-116,47,3.808
-116,44,4.37
-116,45,4.059
-116,48,3.745
-119,46,4.28
-100,29,4.941
-100,28,4.983
-85,37,4.151
-85,36,4.199
-91,29,4.737
-119,45,4.31
-121,35,5.294
-156,58,0.0
-156,64,0.0
-139,59,0.0
-159,21,5.44
-104,29,5.821
-159,22,4.944
-116,36,5.699
-116,35,5.781
-116,34,5.81
-116,33,5.718
-115,44,4.338
-119,44,4.318
-143,70,0.0
-163,62,0.0
-163,63,0.0
-163,64,0.0
-116,38,5.412
-168,65,0.0
-84,29,4.9
-111,36,5.512
-119,43,4.54
-121,37,5.106
-95,36,4.474
-162,60,0.0
-95,37,4.397
-95,34,4.469
-79,34,4.544
-79,35,4.454
-79,36,4.37
-79,37,4.247
-149,60,0.0
-149,61,0.0
-79,32,4.726
-79,33,4.614
-106,43,4.407
-79,38,4.025
-79,39,3.831
-121,36,4.969
-106,42,4.424
-106,41,4.348
-74,39,4.096
-74,38,4.214
-106,40,4.369
-134,58,0.0
-119,41,4.855
-112,39,5.012
-109,38,5.143
-97,29,4.724
-97,28,4.754
-97,27,4.842
-97,26,4.931
-97,25,4.878
-112,37,5.193
-112,36,5.388
-112,35,5.501
-112,34,5.586
-75,38,4.205
-75,39,4.072
-95,38,4.326
-119,40,5.056
-106,48,3.795
-75,35,4.465
-75,36,4.405
-75,37,4.331
-99,47,3.743
-99,46,3.837
-99,45,3.987
-99,44,4.071
-99,43,4.168
-99,42,4.255
-99,41,4.362
-99,40,4.485
-102,39,4.869
-161,60,0.0
-99,48,3.656
-160,55,0.0
-150,63,0.0
-150,60,0.0
-113,37,5.421
-161,67,0.0
-81,28,4.904
-81,29,4.824
-81,24,5.414
-81,25,5.162
-81,26,5.122
-81,27,4.999
-143,62,0.0
-118,48,3.816
-122,36,4.912
-122,37,4.805
-122,38,4.904
-122,39,5.005
-118,46,4.205
-118,47,4.069
-118,40,5.049
-93,29,4.68
-118,42,4.617
-118,43,4.535
-143,63,0.0
-96,42,4.066
-96,43,3.986
-96,40,4.257
-96,41,4.154
-96,46,3.745
-96,47,3.621
-96,44,3.922
-96,45,3.85
-76,44,3.725
-96,48,3.556
-76,40,3.896
-76,41,3.771
-76,42,3.712
-76,43,3.709
-70,44,3.679
-70,45,3.536
-70,42,3.82
-70,43,3.81
-92,48,3.525
-70,41,3.872
-92,46,3.688
-92,47,3.602
-92,44,3.772
-92,45,3.744
-92,42,3.898
-92,43,3.821
-92,40,4.082
-92,41,3.985
-131,56,0.0
-118,44,4.255
-131,55,0.0
-122,47,3.383
-118,45,4.123
-122,46,3.353
-124,46,3.288
-122,45,3.55
-118,41,4.871
-93,34,4.386
-93,35,4.391
-92,39,4.191
-93,37,4.304
-93,30,4.571
-93,31,4.571
-93,32,4.541
-93,33,4.485
-92,33,4.513
-92,32,4.55
-92,31,4.589
-92,30,4.63
-93,38,4.249
-93,39,4.199
-92,35,4.38
-92,34,4.421
-124,43,3.816
-133,55,0.0
-88,30,4.741
-119,42,4.692
-88,31,4.65
-96,36,4.551
-154,19,4.71
-124,42,4.082
-88,34,4.447
-166,65,0.0
-69,41,3.863
-69,43,3.768
-69,44,3.695
-88,36,4.301
-69,47,3.495
-88,37,4.242
-124,41,4.123
-110,44,3.962
-170,63,0.0
-166,61,0.0
-97,31,4.76
-77,43,3.741
-77,42,3.718
-77,41,3.761
-77,40,3.868
-97,32,4.788
-97,33,4.775
-101,48,3.699
-110,40,4.694
-135,58,0.0
-124,40,4.151
-110,41,4.573
-97,36,4.664
-110,43,4.094
-95,29,4.58
-95,28,4.738
-115,43,4.567
-97,38,4.527
-115,41,4.693
-115,40,4.776
-115,47,3.764
-115,46,3.93
-115,45,4.109
-97,39,4.44
-124,47,3.261
-115,48,3.697
-101,29,5.171
-112,42,4.422
-111,48,3.864
-80,41,3.755
-80,40,3.82
-111,45,3.98
-80,42,3.652
-111,43,4.244
-111,42,4.39
-111,41,4.588
-111,40,4.652
-77,38,4.173
-77,39,4.076
-77,36,4.388
-77,37,4.297
-77,34,4.505
-77,35,4.436
-77,33,4.605
-143,66,0.0
-149,67,0.0
-144,67,0.0
-96,30,4.673
-163,54,0.0
-112,38,4.993
-110,35,5.587
-110,34,5.506
-111,38,4.906
-111,39,4.82
-110,31,5.73
-110,33,5.668
-110,32,5.769
-111,32,5.79
-111,33,5.776
-111,31,5.77
-110,39,4.922
-111,37,5.162
-111,34,5.529
-111,35,5.431
-108,45,4.108
-108,44,4.342
-108,47,3.957
-108,46,4.049
-108,41,4.612
-108,40,4.759
-108,43,4.534
-108,42,4.559
-108,48,3.871
-98,45,3.928
-87,39,4.073
-87,38,4.162
-124,44,3.636
-155,20,5.373
-87,31,4.669
-87,30,4.763
-87,33,4.501
-87,32,4.626
-87,35,4.322
-87,34,4.413
-87,37,4.215
-87,36,4.262
-122,48,3.338
-122,43,4.02
-100,38,4.822
-100,39,4.715
-100,34,5.117
-100,35,5.08
-100,36,5.023
-100,37,4.921
-100,30,5.112
-100,31,5.182
-100,32,5.189
-100,33,5.18
-152,63,0.0
-149,62,0.0
-84,45,3.67
-84,44,3.718
-84,46,3.663
-84,41,3.849
-84,40,3.905
-84,43,3.778
-84,42,3.804
-86,46,3.618
-86,45,3.707
-86,44,3.72
-86,43,3.786
-86,42,3.796
-86,41,3.838
-86,40,3.934
-104,30,5.735
-104,31,5.734
-104,32,5.589
-104,33,5.592
-104,34,5.543
-104,35,5.438
-104,36,5.324
-104,37,5.114
-104,38,4.962
-104,39,4.831
-108,31,5.821
-101,42,4.439
-101,43,4.318
-106,44,4.107
-101,40,4.656
-101,41,4.546
-89,39,4.133
-82,29,4.822
-101,47,3.795
-91,39,4.171
-121,48,3.226
-121,44,4.294
-121,45,4.059
-121,46,3.696
-121,47,3.25
-121,40,4.925
-121,41,4.846
-121,42,4.721
-121,43,4.501
-99,26,5.139
-155,60,0.0
-74,42,3.716
-74,43,3.661
-74,40,3.96
-74,41,3.854
-156,21,5.526
-74,44,3.601
