Year,Temp (K)
1,287.4776828874225
2,287.479780118807
3,287.39927955570516
4,287.4147077331305
5,287.4937908005225
6,287.5069425940444
7,287.5047307476356
8,287.39365969558327
9,287.36091274196195
10,287.42903203284106
11,287.36189188670295
12,287.28616937950824
13,287.4788395403276
14,287.51391183504467
15,287.4779862681375
16,287.4733776045251
17,287.5354860632388
18,287.4579872504537
19,287.38053366746743
20,287.45392393088036
21,287.437117459786
22,287.4181504467118
23,287.4195380896499
24,287.39599639844084
25,287.4441668801276
26,287.39396991611216
27,287.5019191256678
28,287.56740723788965
29,287.4486514385287
30,287.40194799937296
31,287.42949849200187
32,287.51687511682144
33,287.5144118989588
34,287.4212420381438
35,287.5876702988686
36,287.50658774536845
37,287.35461800065315
38,287.39998948424795
39,287.4993363722659
40,287.475622112498
41,287.3964089130999
42,287.366079536877
43,287.39337711690894
44,287.45419484039564
45,287.44956679995585
46,287.35175761731136
47,287.3564748322686
48,287.3388832937048
49,287.4390781115448
50,287.4499747047405
51,287.3602519375499
52,287.4885302480916
53,287.36099424640827
54,287.337661480823
55,287.4256072215247
56,287.39692059941297
57,287.3424376177283
58,287.4019338594862
59,287.3386830742016
60,287.3279251361207
61,287.40559847991756
62,287.30362084570226
63,287.40963054914704
64,287.4093585405444
65,287.3691157342513
66,287.4412738710334
67,287.3778297396966
68,287.434187526273
69,287.4323638395092
70,287.39177312398385
71,287.54690489389617
72,287.5049500836599
73,287.46202480347154
74,287.4143639574496
75,287.4569425185135
76,287.3913644358191
77,287.3695856569635
78,287.3892501865668
79,287.3445799978857
80,287.29092791793477
81,287.30656421891433
82,287.38928655301703
83,287.37821967426294
84,287.44798603172336
85,287.46085092567495
86,287.4883087589062
87,287.48006664481665
88,287.5297270447989
89,287.53069267154666
90,287.52126930623
91,287.3954374001287
92,287.3975299690381
93,287.47989629092143
94,287.3488175151129
95,287.41450273767526
96,287.54404036587147
97,287.5100658339665
98,287.5169841948928
99,287.49595884144713
100,287.43241229739994
101,287.4457874073785
102,287.4219564129224
103,287.50597832469185
104,287.5516223202524
105,287.4459624507557
106,287.4998389874604
107,287.55197627380335
108,287.50732839176607
109,287.3246453470904
110,287.4768889861903
111,287.3713415256084
112,287.36770619317093
113,287.4170632183069
114,287.2805394404281
115,287.32469373311443
116,287.43909375358635
117,287.3812389697354
118,287.436004007123
119,287.41607724136634
120,287.32048620738146
121,287.27660977290617
122,287.33501603411395
123,287.35128049730446
124,287.38639947900873
125,287.4255306775248
126,287.4835543914037
127,287.3278730463295
128,287.3132986673558
129,287.43444400611986
130,287.56547720194936
131,287.4522368170462
132,287.4630442801213
133,287.61602904197855
134,287.5965556051542
135,287.51498501731805
136,287.4934914535507
137,287.58077247071907
138,287.5036999374512
139,287.565298069457
140,287.54250814453866
141,287.57115548750465
142,287.57441307989063
143,287.5139596099917
144,287.56819289416785
145,287.67888569579173
146,287.53953455408913
147,287.42362006835674
148,287.4998736226694
149,287.5080363983501
150,287.4302515881478
151,287.46919504648355
152,287.5112753234119
153,287.45773380854877
154,287.45447230225125
155,287.41478032181715
156,287.4834770870931
157,287.5109502877118
158,287.44497163353793
159,287.5024838937746
160,287.54189016677515
161,287.39175573763094
162,287.514792867773
163,287.57611187672643
164,287.5185505469993
165,287.49108564955486
166,287.4325603779052
167,287.5097196697827
168,287.4896332044728
169,287.5452141673119
170,287.48415146392506
171,287.4509642148741
172,287.43162798315643
173,287.47413374335804
174,287.4428819314991
175,287.4022506085302
176,287.3979784720597
177,287.3259545113663
178,287.39474516961616
179,287.4850542998094
180,287.3165754948334
181,287.38990660851863
182,287.48427778661187
183,287.505442366729
184,287.4347139816555
185,287.4584268674186
186,287.30707772565603
187,287.4212293491391
188,287.5677750831298
189,287.5087284218463
190,287.4939353473145
191,287.49092222132583
192,287.49054437988883
193,287.5239755266793
194,287.464997758814
195,287.48076625472555
196,287.44388037666016
197,287.46987272799686
198,287.3748016705032
199,287.4523735635573
200,287.49687233174836
201,287.41209014509855
202,287.49305429722773
203,287.5206702209655
204,287.3305388620088
205,287.4492012655387
206,287.3788702553826
207,287.4116712436802
208,287.50581861995266
209,287.3128216315805
210,287.4627062285112
211,287.4245534731547
212,287.400580272401
213,287.55325852002426
214,287.50606674552984
215,287.3955436194571
216,287.4898274837448
217,287.4822609676025
218,287.41497588712264
219,287.5283095016937
220,287.4635652471161
221,287.5256439144003
222,287.53365516460366
223,287.4868470237768
224,287.4499063555849
225,287.54366662604934
226,287.50423568317296
227,287.50645982547627
228,287.471026025642
229,287.46128077281713
230,287.485496485767
231,287.47498663729306
232,287.39740131842217
233,287.421370924703
234,287.4861642256996
235,287.343001274063
236,287.3752885736371
237,287.39285600896284
238,287.27420752206183
239,287.30593044105166
240,287.3721847702491
241,287.3585650958523
242,287.44460367337325
243,287.41744213671257
244,287.3510475502102
245,287.398046861685
246,287.4204667900647
247,287.32430376417017
248,287.4526168021809
249,287.4234732289087
250,287.3430755984789
251,287.42114590102153
252,287.46301651883624
253,287.4284236488853
254,287.40491639119324
255,287.3972655972398
256,287.33212495867457
257,287.4462470836293
258,287.39782290508083
259,287.4680860444283
260,287.52415043337413
261,287.3511094069371
262,287.45225757141236
263,287.30568272130677
264,287.326386263414
265,287.3894739703604
266,287.47803457025935
267,287.40814512137564
268,287.40589226671653
269,287.2983515107245
270,287.24855936948865
271,287.41925541494874
272,287.40596533676353
273,287.35895509636487
274,287.33682801795334
275,287.33283937558036
276,287.5116273452922
277,287.43902027088893
278,287.3850538808653
279,287.3663982783671
280,287.46034510277286
281,287.4003892536353
282,287.4681488355062
283,287.4337567132124
284,287.41488486243264
285,287.3631607631659
286,287.46144416268436
287,287.45627427494605
288,287.31025587248274
289,287.3919063952489
290,287.30578159306526
291,287.30760646306135
292,287.36461732320817
293,287.3440482477734
294,287.40406323069755
295,287.41028757142277
296,287.3082122512547
297,287.4538410525262
298,287.4255051774167
299,287.4140060100079
300,287.3877301614511
301,287.6064094852824
302,287.5508829402824
303,287.5152103778017
304,287.585034004345
305,287.55383241987374
306,287.51843374733295
307,287.47123554708605
308,287.4382930782934
309,287.4953246983515
310,287.53142282244437
311,287.3905148824924
312,287.4006050745977
313,287.40835381978303
314,287.4981349374314
315,287.5795057147003
316,287.51290134102413
317,287.4743249136904
318,287.3433196323014
319,287.4003007893315
320,287.4093509307799
321,287.3599762094428
322,287.44637206035685
323,287.4954242119115
324,287.4634329383284
325,287.3284314261758
326,287.44913135468687
327,287.37413255451986
328,287.4847080214836
329,287.53128110717864
330,287.4560209041027
331,287.40854896387356
332,287.41384115204573
333,287.407205216072
334,287.37331985200586
335,287.4616407360794
336,287.45869528152934
337,287.44289296935153
338,287.48351076410154
339,287.4712259657071
340,287.48943355096173
341,287.46588063766274
342,287.46257731520126
343,287.4646444723625
344,287.41095695078275
345,287.4095880355995
346,287.40813355307046
347,287.4168958830642
348,287.52094187289407
349,287.4537586128821
350,287.4922335838209
351,287.50699227792103
352,287.46565115180306
353,287.52828404758634
354,287.480391902635
355,287.5074866159829
356,287.42045123993
357,287.3586170206138
358,287.405664457506
359,287.40437382382174
360,287.3402350651849
361,287.38787695221913
362,287.3935512126717
363,287.45664753682877
364,287.52855759690493
365,287.51515306194744
366,287.31484041642295
367,287.46216043301007
368,287.53936207147785
369,287.5449208599656
370,287.4336617807486
371,287.3676139062668
372,287.47334043683685
373,287.44009558245193
374,287.4155585609374
375,287.51245819603105
376,287.4763146187353
377,287.4697571682506
378,287.4430266472079
379,287.3346217075255
380,287.37951409454115
381,287.4446036684868
382,287.3617907009835
383,287.40012151919166
384,287.39994880417373
385,287.4128129970768
386,287.3442898662647
387,287.40428323841377
388,287.3911757483702
389,287.3404184103636
390,287.39572914723936
391,287.4068995461464
392,287.34203378329664
393,287.3746163982047
394,287.28369378612086
395,287.4033828337546
396,287.4106249585176
397,287.4979549999237
398,287.4922187276875
399,287.39103197789944
400,287.38195312166334
401,287.43989420544835
402,287.4909827085198
403,287.4270388338149
404,287.30162758450973
405,287.472121593793
406,287.4020877373835
407,287.4700304695874
408,287.44031311307225
409,287.42800118641145
410,287.39061829652223
411,287.4598397126624
412,287.45551760672663
413,287.4913003908083
414,287.5393129348323
415,287.4138315779553
416,287.4131606927955
417,287.47602725218553
418,287.45448008731717
419,287.44869917107513
420,287.4962019730387
421,287.46959468147253
422,287.4452729285779
423,287.44078854119675
424,287.42974499397917
425,287.4111170320088
426,287.4730674723077
427,287.4065353940152
428,287.5424918837797
429,287.4266745069602
430,287.458860672188
431,287.4798159597858
432,287.52172017017864
433,287.4133990582533
434,287.3198546890755
435,287.35006780676486
436,287.42754204578927
437,287.52128845464443
438,287.50071506102194
439,287.4157704464154
440,287.36422623871516
441,287.31210522657636
442,287.41678695801295
443,287.55851550532293
444,287.410645348602
445,287.45630059986166
446,287.42267488979803
447,287.5120765156987
448,287.44270529330475
449,287.41735769772436
450,287.53281944056283
451,287.4400142728497
452,287.4412544715838
453,287.53184739418623
454,287.4110956028655
455,287.47528091969787
456,287.51799125991016
457,287.5150339047808
458,287.53469853996774
459,287.565785548508
460,287.3901694729242
461,287.3646918691346
462,287.4678050190445
463,287.4571387939539
464,287.44693835516836
465,287.4429182475526
466,287.4086060484601
467,287.31589403057905
468,287.3999990637929
469,287.28966674003317
470,287.3446783251452
471,287.3150313042345
472,287.34527311628005
473,287.3576249081822
474,287.4724658008561
475,287.44259510685987
476,287.452160680718
477,287.36149700154493
478,287.35127377301546
479,287.41086572798815
480,287.4995472204003
481,287.429422586608
482,287.4403774117051
483,287.460766496363
484,287.4373686474989
485,287.44293364088117
486,287.5470488990146
487,287.42350989650464
488,287.3995442298417
489,287.2922413891081
490,287.3887590489882
491,287.38495934979034
492,287.44873875175256
493,287.44363628230553
494,287.4354326776813
495,287.50702362905577
496,287.45777033686244
497,287.3509972448615
498,287.46167837100245
499,287.49548453457083
500,287.45150966675857
501,287.47938798819325
502,287.4023488130375
503,287.42853411256846
504,287.4744911643501
505,287.45668683019727
506,287.4743115425426
507,287.35226881318846
508,287.41092624847977
509,287.4051577438025
510,287.408404835762
511,287.4788454322887
512,287.4342252201538
513,287.5252845548087
514,287.5203601875397
515,287.46782872789584
516,287.42701213200246
517,287.5265794771461
518,287.5437777652709
519,287.48443370691615
520,287.47855061048693
521,287.50859873197663
522,287.4386385077365
523,287.4118685882927
524,287.4667373448294
525,287.4922883613098
526,287.3861347760365
527,287.39176870466184
528,287.3984084550974
529,287.4615619966699
530,287.3617060587223
531,287.3650839716549
532,287.40039753828637
533,287.5165441868773
534,287.52759130345794
535,287.3129066543401
536,287.2520028079951
537,287.2884105314518
538,287.201249897846
539,287.3431702669223
540,287.4736318251673
541,287.4667594778707
542,287.4262890690446
543,287.4800295122808
544,287.3607941735774
545,287.36494781050504
546,287.41019556993183
547,287.4176340685324
548,287.41288590999625
549,287.3187957757665
550,287.31170954462294
551,287.3949817912508
552,287.46275758977634
553,287.39511600739036
554,287.2867339258055
555,287.3244537142964
556,287.36073864296714
557,287.2461012369064
558,287.35031888508473
559,287.3215200433477
560,287.34344447738516
561,287.4346263670278
562,287.4560408692657
563,287.3422098126889
564,287.3804540614747
565,287.4533692862426
566,287.49264155156226
567,287.4434720949589
568,287.48735937260915
569,287.42127727234475
570,287.4387130303263
571,287.40722341768384
572,287.37065592243334
573,287.4227041837652
574,287.47660185418806
575,287.50176595653153
576,287.51591736451263
577,287.39009106870765
578,287.52548961744753
579,287.4254098791445
580,287.3014703741927
581,287.4950150912086
582,287.51527980439806
583,287.49959053814575
584,287.48076577889725
585,287.5521461922958
586,287.5726316322032
587,287.4467044573165
588,287.3315027187045
589,287.41363138761034
590,287.5052712686353
591,287.51996822140535
592,287.45742024965267
593,287.5073125746949
594,287.5877164325783
595,287.4418874516067
596,287.4589441966723
597,287.6145046304472
598,287.4826862015106
599,287.4093640510182
600,287.47952661344624
601,287.3499377688259
602,287.41165507325377
603,287.4375941728324
604,287.49260952980245
605,287.42140327481496
606,287.43557237105045
607,287.39320293777865
608,287.4124423707857
609,287.4204988665388
610,287.3941600922336
611,287.3801304732821
612,287.37906549458813
613,287.3646199802811
614,287.4170823068221
615,287.39509673752156
616,287.4286723009295
617,287.47172900076924
618,287.44469295930145
619,287.4252025718164
620,287.4677487701972
621,287.38057117062715
622,287.40993213618765
623,287.455391975697
624,287.4140110453111
625,287.4478744313804
626,287.4773851841556
627,287.4559713235487
628,287.2912798555131
629,287.1857507494499
630,287.2773382979998
631,287.4017129455135
632,287.40203896635114
633,287.44240383531576
634,287.39452927715047
635,287.34738911906464
636,287.4080789400099
637,287.4133880377653
638,287.4314160490254
639,287.4369463648748
640,287.40733296652513
641,287.48010422669887
642,287.4459836001156
643,287.4984004504716
644,287.3859945549973
645,287.52697322490576
646,287.55898581341046
647,287.3989171633585
648,287.3821642299839
649,287.53619037775644
650,287.47892620058127
651,287.49854028152794
652,287.5292840375499
653,287.5576835013001
654,287.55477438461537
655,287.5652746776804
656,287.5469592695225
657,287.4996799866029
658,287.51536839243636
659,287.4555766149207
660,287.4961549719331
661,287.4204697204898
662,287.56559638936847
663,287.53111623433887
664,287.517608460436
665,287.53176686123516
666,287.39405588368203
667,287.5098150458952
668,287.4784479575264
669,287.4157902417667
670,287.4982600399268
671,287.558237660942
672,287.42240459112503
673,287.4464134235178
674,287.4980156613498
675,287.4692318914529
676,287.47065914897337
677,287.50310779620537
678,287.47425234376334
679,287.4564170976446
680,287.40955296610855
681,287.4729167264587
682,287.4541835435187
683,287.47356792465456
684,287.4942817363634
685,287.43365633270014
686,287.567200087316
687,287.5034151723675
688,287.46814352162454
689,287.5523568069567
690,287.46534388042073
691,287.47636075802257
692,287.60724661643417
693,287.58675126151843
694,287.3781696960038
695,287.45837046414965
696,287.50359099166775
697,287.4452222028065
698,287.4680462542774
699,287.5027735909216
700,287.4468178992998
701,287.5602209498123
702,287.4442273876128
703,287.4731534940176
704,287.5859744772434
705,287.4481295877812
706,287.52438557292317
707,287.39548649575784
708,287.51711655717264
709,287.52953006686465
710,287.4820710691796
711,287.503346893219
712,287.48246695932977
713,287.47441146148935
714,287.525720537976
715,287.4378643298075
716,287.53823254551116
717,287.51684132429006
718,287.4692186606725
719,287.523371267118
720,287.42733272022963
721,287.37385925367863
722,287.5107663967608
723,287.48613407536567
724,287.58037976429904
725,287.53958690052656
726,287.5172182886826
727,287.4603405286918
728,287.45362863679486
729,287.4676151027434
730,287.42770236404823
731,287.35692917670764
732,287.45465354890956
733,287.36285116081274
734,287.4023903211916
735,287.4642169178713
736,287.31595722142526
737,287.43538382598786
738,287.50389963350653
739,287.3868681958671
740,287.47792999544174
741,287.5473077387319
742,287.41142218089107
743,287.4328554773541
744,287.51429968179656
745,287.38066287069597
746,287.485214577069
747,287.38190583479286
748,287.43522430937094
749,287.54797778396585
750,287.516955697284
751,287.4772263479965
752,287.4546580768033
753,287.376251566814
754,287.5082132213799
755,287.50723312974463
756,287.514009784286
757,287.44412096344377
758,287.4217776511229
759,287.4750052367857
760,287.42885846997643
761,287.3950619039686
762,287.42026512656935
763,287.4664602104414
764,287.5177921777509
765,287.53131109299613
766,287.4795780535164
767,287.4125998156344
768,287.4679042961324
769,287.5120969361329
770,287.4494530113219
771,287.5941485861613
772,287.49041045958074
773,287.4370072176822
774,287.3746722194533
775,287.46176090720473
776,287.58618202312454
777,287.3309042799164
778,287.33650741807884
779,287.4021078435607
780,287.3363916811097
781,287.3611739696222
782,287.41691984002784
783,287.5251719385952
784,287.43161290363906
785,287.4465281501331
786,287.4476411098284
787,287.4533787402406
788,287.4697794702801
789,287.60564228906804
790,287.4889562198199
791,287.4596923364211
792,287.35725682293133
793,287.44998292278353
794,287.5104747809322
795,287.45418612743
796,287.52581075671463
797,287.486224869727
798,287.51301876692486
799,287.50923630472056
800,287.35424507659474
801,287.4167570640435
802,287.44269299020726
803,287.3364491483508
804,287.3404065594309
805,287.47017996159866
806,287.49437414674685
807,287.4273490840415
808,287.43107627072857
809,287.4663503819678
810,287.57056182364494
811,287.50861881584484
812,287.56196481108066
813,287.4842993714446
814,287.4329492130111
815,287.4319312868184
816,287.56311388688
817,287.5519995957239
818,287.36461247121235
819,287.4825574026578
820,287.44277103676654
821,287.322882307356
822,287.4636183954476
823,287.45131122395907
824,287.41097741741225
825,287.52841023285583
826,287.43289679641777
827,287.33754258206244
828,287.4110664107977
829,287.48176378033537
830,287.3417810512275
831,287.3976444564679
832,287.4269106182389
833,287.47642190482946
834,287.43549119793516
835,287.4995208067163
836,287.5348399394086
837,287.537221718727
838,287.5007933820161
839,287.5266823999492
840,287.5344964176621
841,287.47373595428786
842,287.5575942937751
843,287.4286527792071
844,287.4545379054885
845,287.36618373058343
846,287.3293179364646
847,287.3319874941402
848,287.33420784959026
849,287.34308204575876
850,287.32163283531577
