CMIP5 GISS-E2 Global Radiative Forcings (Fi) Miller et al (2014) (Updated)
Year
Instantaneous Forcing (W/m\S2\) 
Year   WMGHG       Ozone       Solar         Land_Use    SnowAlb_BC    Orbital       TropAerDir   TropAerInd     StratAer  
1976   1.85415    0.324083     -0.0173482  -0.195037     0.0513986   0.00191803   -0.103195    -0.509644E+00    -0.248317 
1977   1.91338    0.333346     0.011627    -0.195733     0.0519053   0.00192776   -0.1064      -0.523880E+00    -0.0359459    
1978   1.97286    0.343143     0.0774933   -0.19642      0.0524185   0.0019384    -0.109615    -0.535311E+00    -0.114534 
1979   2.03459    0.352383     0.130856    -0.197106     0.0529238   0.00195493   -0.112813    -0.545321E+00    -0.136846 
1980   2.09837    0.362496     0.132923    -0.197799     0.0534377   0.00195668   -0.116014    -0.557516E+00    -0.0294989
1981   2.15487    0.37198      0.13994     -0.198391     0.0534899   0.00196222   -0.12073     -0.572096E+00    -0.0378411       
1982   2.2082     0.381423     0.0759392   -0.198979     0.0535404   0.00197421   -0.125468    -0.586290E+00    -1.36407  
1983   2.26496    0.391309     0.0670462   -0.199571     0.0535909   0.0019865    -0.130196    -0.603796E+00    -1.76171  
1984   2.32299    0.400209     0.00629366  -0.200156     0.0536424   0.00199895   -0.134929    -0.617826E+00    -0.602579 
1985   2.37788    0.407175     -0.017927   -0.200749     0.0536947   0.00200209   -0.139615    -0.630432E+00    -0.207053 
1986   2.43121    0.413146     -0.0183114  -0.201342     0.0537415   0.0020165    -0.144299    -0.643057E+00    -0.23363  
1987   2.48935    0.419101     0.00516725  -0.203114     0.0537883   0.00202456   -0.148991    -0.657189E+00    -0.150298 
1988   2.5529     0.424566     0.0475575   -0.204127     0.0538399   0.0020357    -0.153621    -0.669425E+00    -0.0816727
1989   2.61264    0.429525     0.132349    -0.203495     0.0538873   0.00204695   -0.158265    -0.680466E+00    -0.0454861
1990   2.66363    0.434943     0.118963    -0.204066     0.0539366   0.0020596    -0.16289     -0.690995E+00    -0.0479264
1991   2.70555    0.439373     0.100407    -0.200619     0.0539366   0.00206262   -0.165619    -0.691844E+00    -1.51823  
1992   2.74021    0.442836     0.0816624   -0.205278     0.0539366   0.00207949   -0.168316    -0.695657E+00    -2.92931  
1993   2.77045    0.444404     0.0410517   -0.205278     0.0539366   0.00208805   -0.170999    -0.696494E+00    -1.05175  
1994   2.80511    0.446402     0.00593672  -0.205278     0.0539366   0.00209411   -0.173677    -0.696525E+00    -0.36122  
1995   2.84522    0.448388     -0.00876114 -0.205278     0.0539366   0.00210411   -0.176328    -0.697818E+00    -0.133344 
1996   2.88519    0.449892     -0.0223544  -0.205278     0.0539366   0.00211465   -0.178961    -0.696683E+00    -0.0647351
1997   2.92642    0.451832     -0.0026152  -0.205278     0.0539366   0.00212411   -0.181594    -0.696581E+00    -0.0324204
1998   2.97349    0.451834     0.0524388   -0.205278     0.0539366   0.00213572   -0.184211    -0.696124E+00    0.0290029 
1999   3.01788    0.451834     0.0953087   -0.205278     0.0539366   0.0021437    -0.186815    -0.695986E+00    0.0680624 
2000   3.053      0.451834     0.137491    -0.205278     0.0539366   0.00214712   -0.189362    -0.697751E+00    0.0877972 
2001   3.08648    0.451834     0.127425    -0.205278     0.0539366   0.002167     -0.189395    -0.697385E+00    0.0877972 
2002   3.12661    0.451834     0.139247    -0.205278     0.0539366   0.00217335   -0.189395    -0.697385E+00    0.0442774 
2003   3.17177    0.451834     0.0712083   -0.205278     0.0539366   0.00218834   -0.189395    -0.697385E+00    -0.0742517
2004   3.21136    0.451834     0.0440678   -0.205278     0.0539366   0.00219292   -0.189395    -0.697385E+00    0.0298938 
2005   3.24898    0.451834     0.0142997   -0.205278     0.0539366   0.00220156   -0.189395    -0.697385E+00    -0.0997407
2006   3.2878     0.451834     0.00843493  -0.205278     0.0539366   0.00221291   -0.189395    -0.697385E+00    -0.0259424
2007   3.32685    0.451834     -0.00490307 -0.205278     0.0539366   0.00222124   -0.189395    -0.697385E+00    0.0328524 
2008   3.36688    0.451834     -0.00937674 -0.205278     0.0539366   0.00223447   -0.189395    -0.697385E+00    0.0597422 
2009   3.40963    0.451834     -0.00620253 -0.205278     0.0539366   0.00224084   -0.189395    -0.697385E+00    0.0406257 
2010   3.45082    0.451834     0.0208216   -0.205278     0.0539366   0.00225361   -0.189395    -0.697385E+00    0.081508  
2011   3.49278    0.451834     0.0583692   -0.205278     0.0539366   0.00226127   -0.189395    -0.697385E+00    0.0882238 
2012   3.53407    0.451834     0.0957521   -0.205278     0.0539366   0.0022772    -0.189395    -0.697385E+00    0.0882238 


